id,title,price,in_stock,rating
1,A Light in the Attic,51.77,1,3
2,Tipping the Velvet,53.74,1,1
3,Soumission,50.1,1,1
4,Sharp Objects,47.82,1,4
5,Sapiens: A Brief History of Humankind,54.23,1,5
6,The Requiem Red,22.65,1,1
7,The Dirty Little Secrets of Getting Your Dream Job,33.34,1,4
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,1,3
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,1,4
10,The Black Maria,52.15,1,1
11,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,1,2
12,Shakespeare's Sonnets,20.66,1,4
13,Set Me Free,17.46,1,5
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,1,5
15,Rip it Up and Start Again,35.02,1,5
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,1,3
17,Olio,23.88,1,1
18,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,1
19,Libertarianism for Beginners,51.33,1,2
20,It's Only the Himalayas,45.17,1,2
